route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
중부내륙선(상주),123.49,194.72,173.018,173.068,절삭 덧씌우기,양평방향,1차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,185.6,186.3,절삭 덧씌우기,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,173.068,173.318,절삭 덧씌우기,양평방향,1차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,0.0,0.0,,,,,,,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,261.52,262.03,절삭 덧씌우기,창원방향,2차로,20220000,2022,2025-11-10 17:53,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,264.1,264.53,절삭 덧씌우기,양평방향,3차로,20220000,2022,2025-11-10 17:54,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,264.25,264.53,절삭 덧씌우기,양평방향,4차로,20220000,2022,2025-11-10 17:54,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,225.26,225.93,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:26,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,235.06,235.91,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:26,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,236.015,236.47,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,258.23,258.93,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,258.23,258.93,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,261.181,261.521,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,257.0,257.886,절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,261.16,262.7,비절삭 덧씌우기,양평방향,1차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,261.16,262.7,비절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,261.16,262.7,비절삭 덧씌우기,양평방향,3차로,20230000,2023,2025-11-11 9:27,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,223.88,224.95,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,230.976,231.346,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,233.8,234.18,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,233.8,234.3,절삭 덧씌우기,창원방향,1차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,258.93,259.5,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,224.53,225.1,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:34,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,236.03,236.25,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:34,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,236.64,237.16,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:34,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,237.66,238.585,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:34,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,253.61,254.53,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:34,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,257.964,258.234,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,233.37,233.76,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
